Name,Sex,Team,NOC,Year,City,Type,Sport,Event,Medal,Sport ID,Type.1
Cornelia Hanisch,F,West Germany,FRG,1984,Los Angeles,Weapon Sports,Fencing,"Fencing Women's Foil, Individual",Silver,32,Weapon Sports
Erich Hanisch,M,Germany,GER,1936,Berlin,Water Sports,Canoeing,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Silver,17,Water Sports
Wolfgang Hanisch,M,East Germany,GDR,1980,Moskva,Athletics,Athletics,Athletics Men's Javelin Throw,Bronze,7,Athletics
Edith (boucher-),F,Great Britain,GBR,1912,Stockholm,Racket Sports,Tennis,"Tennis Women's Singles, Covered Courts",Gold,65,Racket Sports
Lennart Hannelius,M,Finland,FIN,1924,Paris,Weapon Sports,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze,56,Weapon Sports
Hans-Joachim Hannemann,M,Germany,GER,1936,Berlin,Water Sports,Rowing,Rowing Men's Coxed Eights,Bronze,52,Water Sports
Lynley (-coventry),F,New Zealand,NZL,1988,Seoul,Water Sports,Rowing,Rowing Women's Coxless Pairs,Bronze,52,Water Sports
Eric Hnni,M,Switzerland,SUI,1964,Tokyo,Combat Sports,Judo,Judo Men's Lightweight,Silver,41,Combat Sports
Kauko Hnninen,M,Finland,FIN,1956,Melbourne,Water Sports,Rowing,Rowing Men's Coxed Fours,Bronze,52,Water Sports
Tawin Hanprab,M,Thailand,THA,2016,Rio de Janeiro,Combat Sports,Taekwondo,Taekwondo Men's Flyweight,Silver,64,Combat Sports
Alf Hansen,M,Norway,NOR,1976,Montreal,Water Sports,Rowing,Rowing Men's Double Sculls,Gold,52,Water Sports
Bernhoff Hansen,M,Norway,NOR,1904,St. Louis,Combat Sports,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold,73,Combat Sports
Brendan Hansen,M,United States,USA,2004,Athina,Water Sports,Swimming,Swimming Men's 100 metres Breaststroke,Silver,61,Water Sports
Brendan Hansen,M,United States,USA,2004,Athina,Water Sports,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,61,Water Sports
Brendan Hansen,M,United States,USA,2012,London,Water Sports,Swimming,Swimming Men's 100 metres Breaststroke,Bronze,61,Water Sports
Edmund Hansen,M,Denmark,DEN,1924,Paris,Cycling Sports,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver,20,Cycling Sports
Ejvind Hansen,M,Denmark,DEN,1948,London,Water Sports,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver,17,Water Sports
Erik Hansen,M,Denmark,DEN,1960,Roma,Water Sports,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold,17,Water Sports
Erik Hansen,M,Denmark,DEN,1960,Roma,Water Sports,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Bronze,17,Water Sports
Erik Hansen,M,Denmark,DEN,1968,Mexico City,Water Sports,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,17,Water Sports
Frank Hansen,M,Norway,NOR,1972,Munich,Water Sports,Rowing,Rowing Men's Double Sculls,Silver,52,Water Sports
Frederick Hansen,M,United States,USA,1964,Tokyo,Athletics,Athletics,Athletics Men's Pole Vault,Gold,7,Athletics
Christian Hansen,M,Denmark,DEN,1948,London,Combat Sports,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze,73,Combat Sports
Henry Hansen,M,Denmark,DEN,1928,Amsterdam,Cycling Sports,Cycling,"Cycling Men's Road Race, Individual",Gold,20,Cycling Sports
Henry Hansen,M,Denmark,DEN,1928,Amsterdam,Cycling Sports,Cycling,"Cycling Men's Road Race, Team",Gold,20,Cycling Sports
Henry Hansen,M,Denmark,DEN,1932,Los Angeles,Cycling Sports,Cycling,"Cycling Men's Road Race, Team",Silver,20,Cycling Sports
Jena Hansen,F,Denmark,DEN,2016,Rio de Janeiro,Other Traditional Sports,Sailing,Sailing Women's Skiff,Bronze,55,Other Traditional Sports
John Hansen,M,Denmark,DEN,1948,London,Team Ball Sports,Football,Football Men's Football,Bronze,34,Team Ball Sports
John Hansen,M,Denmark,DEN,1964,Tokyo,Water Sports,Rowing,Rowing Men's Coxless Fours,Gold,52,Water Sports
Lasse Hansen,M,Denmark,DEN,2012,London,Cycling Sports,Cycling,Cycling Men's Omnium,Gold,20,Cycling Sports
Lasse Hansen,M,Denmark,DEN,2016,Rio de Janeiro,Cycling Sports,Cycling,Cycling Men's Omnium,Bronze,20,Cycling Sports
Pia (larsson-),F,Sweden,SWE,2000,Sydney,Weapon Sports,Shooting,Shooting Women's Double Trap,Gold,56,Weapon Sports
Poul Hansen,M,Denmark,DEN,1920,Antwerpen,Combat Sports,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver,73,Combat Sports
Sverre Hansen,M,Norway,NOR,1924,Paris,Athletics,Athletics,Athletics Men's Long Jump,Bronze,7,Athletics
Hanne Hansen,F,Denmark,DEN,1996,Atlanta,Water Sports,Rowing,Rowing Women's Single Sculls,Bronze,52,Water Sports
Willy Hansen,M,Denmark,DEN,1928,Amsterdam,Cycling Sports,Cycling,Cycling Men's Sprint,Bronze,20,Cycling Sports
Willy Hansen,M,Denmark,DEN,1928,Amsterdam,Cycling Sports,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,20,Cycling Sports
Marcel Hansenne,M,France,FRA,1948,London,Athletics,Athletics,Athletics Men's 800 metres,Bronze,7,Athletics
Boden Hanson,M,Australia,AUS,2004,Athina,Water Sports,Rowing,Rowing Men's Coxed Eights,Bronze,52,Water Sports
Brooke (-clarke),F,Australia,AUS,2004,Athina,Water Sports,Swimming,Swimming Women's 100 metres Breaststroke,Silver,61,Water Sports
Brooke (-clarke),F,Australia,AUS,2004,Athina,Water Sports,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,61,Water Sports
Pontus Hanson,M,Sweden,SWE,1908,London,Water Sports,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,61,Water Sports
Hao Jialu,F,China,CHN,2016,Rio de Janeiro,Weapon Sports,Fencing,"Fencing Women's epee, Team",Silver,32,Weapon Sports
Ursula (krey-),F,Germany,GER,1956,Melbourne,Water Sports,Swimming,Swimming Women's 200 metres Breaststroke,Gold,61,Water Sports
Masao Harada,M,Japan,JPN,1936,Berlin,Athletics,Athletics,Athletics Men's Triple Jump,Silver,7,Athletics
Saho Harada,F,Japan,JPN,2008,Beijing,Artistic Sports,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,62,Artistic Sports
Imre Harangi,M,Hungary,HUN,1936,Berlin,Combat Sports,Boxing,Boxing Men's Lightweight,Gold,13,Combat Sports
Hisayoshi Harasawa,M,Japan,JPN,2016,Rio de Janeiro,Combat Sports,Judo,Judo Men's Heavyweight,Silver,41,Combat Sports
Sarah (-thomas),F,Great Britain,GBR,1984,Los Angeles,Water Sports,Swimming,Swimming Women's 400 metres Freestyle,Silver,61,Water Sports
Sarah (-thomas),F,Great Britain,GBR,1984,Los Angeles,Water Sports,Swimming,Swimming Women's 800 metres Freestyle,Bronze,61,Water Sports
James Iii,M,United States,USA,2012,London,Athletics,Athletics,Athletics Men's Decathlon,Silver,7,Athletics
Glenn Hardin,M,United States,USA,1932,Los Angeles,Athletics,Athletics,Athletics Men's 400 metres Hurdles,Silver,7,Athletics
Glenn Hardin,M,United States,USA,1936,Berlin,Athletics,Athletics,Athletics Men's 400 metres Hurdles,Gold,7,Athletics
Phyllis (-turner),F,Great Britain,GBR,1924,Paris,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Silver,61,Water Sports
Harold Hardwick,M,Australasia,ANZ,1912,Stockholm,Water Sports,Swimming,Swimming Men's 400 metres Freestyle,Bronze,61,Water Sports
Harold Hardwick,M,Australasia,ANZ,1912,Stockholm,Water Sports,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,61,Water Sports
Adrien Hardy,M,France,FRA,2004,Athina,Water Sports,Rowing,Rowing Men's Double Sculls,Gold,52,Water Sports
Thomas Hare,M,United States,USA,1900,Paris,Athletics,Athletics,Athletics Men's Hammer Throw,Silver,7,Athletics
Thomas Hare,M,United States,USA,1904,St. Louis,Athletics,Athletics,Athletics Men's All-Around Championship,Bronze,7,Athletics
Herbert Haresnape,M,Great Britain,GBR,1908,London,Water Sports,Swimming,Swimming Men's 100 metres Backstroke,Bronze,61,Water Sports
Andrs Hargitay,M,Hungary,HUN,1972,Munich,Water Sports,Swimming,Swimming Men's 400 metres Individual Medley,Bronze,61,Water Sports
Ingrid Haringa,F,Netherlands,NED,1992,Barcelona,Cycling Sports,Cycling,Cycling Women's Sprint,Bronze,20,Cycling Sports
Ingrid Haringa,F,Netherlands,NED,1996,Atlanta,Cycling Sports,Cycling,Cycling Women's Sprint,Bronze,20,Cycling Sports
Ingrid Haringa,F,Netherlands,NED,1996,Atlanta,Cycling Sports,Cycling,Cycling Women's Points Race,Silver,20,Cycling Sports
Arsi Harju,M,Finland,FIN,2000,Sydney,Athletics,Athletics,Athletics Men's Shot Put,Gold,7,Athletics
Arto Hrknen,M,Finland,FIN,1984,Los Angeles,Athletics,Athletics,Athletics Men's Javelin Throw,Gold,7,Athletics
Bruce Harlan,M,United States,USA,1948,London,Water Sports,Diving,Diving Men's Springboard,Gold,29,Water Sports
Bruce Harlan,M,United States,USA,1948,London,Water Sports,Diving,Diving Men's Platform,Silver,29,Water Sports
Georgina (-seccombe),F,Great Britain,GBR,2004,Athina,Other Traditional Sports,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze,46,Other Traditional Sports
Johan (kerman-),M,Sweden,SWE,1980,Moskva,Weapon Sports,Fencing,"Fencing Men's epee, Individual",Gold,32,Weapon Sports
Curtis Harnett,M,Canada,CAN,1984,Los Angeles,Cycling Sports,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,20,Cycling Sports
Curtis Harnett,M,Canada,CAN,1992,Barcelona,Cycling Sports,Cycling,Cycling Men's Sprint,Bronze,20,Cycling Sports
Curtis Harnett,M,Canada,CAN,1996,Atlanta,Cycling Sports,Cycling,Cycling Men's Sprint,Bronze,20,Cycling Sports
Marlne Harnois,F,France,FRA,2012,London,Combat Sports,Taekwondo,Taekwondo Women's Featherweight,Bronze,64,Combat Sports
Dawn -nelson),F,United States,USA,2008,Beijing,Athletics,Athletics,Athletics Women's 100 metres Hurdles,Gold,7,Athletics
Dawn -nelson),F,United States,USA,2012,London,Athletics,Athletics,Athletics Women's 100 metres Hurdles,Silver,7,Athletics
Donald Harper,M,United States,USA,1956,Melbourne,Water Sports,Diving,Diving Men's Springboard,Silver,29,Water Sports
Ernest Harper,M,Great Britain,GBR,1936,Berlin,Athletics,Athletics,Athletics Men's Marathon,Silver,7,Athletics
Daniel Harrigan,M,United States,USA,1976,Montreal,Water Sports,Swimming,Swimming Men's 200 metres Backstroke,Bronze,61,Water Sports
William Jr.,M,United States,USA,1920,Antwerpen,Water Sports,Swimming,Swimming Men's 100 metres Freestyle,Bronze,61,Water Sports
Daniel Harris,M,United States,USA,1984,Los Angeles,Athletics,Athletics,Athletics Men's 400 metres Hurdles,Silver,7,Athletics
Otis Jr.,M,United States,USA,2004,Athina,Athletics,Athletics,Athletics Men's 400 metres,Silver,7,Athletics
Reginald Harris,M,Great Britain,GBR,1948,London,Cycling Sports,Cycling,Cycling Men's Sprint,Silver,20,Cycling Sports
Ronald Harris,M,United States,USA,1968,Mexico City,Combat Sports,Boxing,Boxing Men's Lightweight,Gold,13,Combat Sports
Ronald Harris,M,United States,USA,1964,Tokyo,Combat Sports,Boxing,Boxing Men's Lightweight,Bronze,13,Combat Sports
Alvin Harrison,M,United States,USA,1996,Atlanta,Athletics,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,7,Athletics
Alvin Harrison,M,United States,USA,2000,Sydney,Athletics,Athletics,Athletics Men's 400 metres,Silver,7,Athletics
Audley Harrison,M,Great Britain,GBR,2000,Sydney,Combat Sports,Boxing,Boxing Men's Super-Heavyweight,Gold,13,Combat Sports
Joan (-breetzke),F,South Africa,RSA,1952,Helsinki,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Gold,61,Water Sports
Kayla Harrison,F,United States,USA,2012,London,Combat Sports,Judo,Judo Women's Half-Heavyweight,Gold,41,Combat Sports
Kayla Harrison,F,United States,USA,2016,Rio de Janeiro,Combat Sports,Judo,Judo Women's Half-Heavyweight,Gold,41,Combat Sports
Kerry Harrison,M,United States,USA,1996,Atlanta,Athletics,Athletics,Athletics Men's Triple Jump,Gold,7,Athletics
Regan Harrison,M,Australia,AUS,2000,Sydney,Water Sports,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,61,Water Sports
Loretta Harrop,F,Australia,AUS,2004,Athina,Endurance Sports,Triathlon,Triathlon Women's Olympic Distance,Silver,68,Endurance Sports
Lis (holst-),F,Denmark,DEN,1952,Helsinki,Equestrian,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver,31,Equestrian
Lis (holst-),F,Denmark,DEN,1956,Stockholm,Equestrian,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver,31,Equestrian
Christoph Harting,M,Germany,GER,2016,Rio de Janeiro,Athletics,Athletics,Athletics Men's Discus Throw,Gold,7,Athletics
Robert Harting,M,Germany,GER,2012,London,Athletics,Athletics,Athletics Men's Discus Throw,Gold,7,Athletics
Blythe Hartley,F,Canada,CAN,2004,Athina,Water Sports,Diving,Diving Women's Synchronized Platform,Bronze,29,Water Sports
Bridgitte Hartley,F,South Africa,RSA,2012,London,Water Sports,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,17,Water Sports
Ingrid Hartmann,F,Germany,GER,1960,Roma,Water Sports,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,17,Water Sports
Josias Hartmann,M,Switzerland,SUI,1924,Paris,Weapon Sports,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,56,Weapon Sports
Karel Hartmann,M,Czechoslovakia,TCH,1920,Antwerpen,Winter Sports,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,39,Winter Sports
Samuel Hartranft,M,United States,USA,1924,Paris,Athletics,Athletics,Athletics Men's Shot Put,Silver,7,Athletics
Bernd Hartstein,M,East Germany,GDR,1980,Moskva,Weapon Sports,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Silver,56,Weapon Sports
Erin Hartwell,M,United States,USA,1992,Barcelona,Cycling Sports,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,20,Cycling Sports
Erin Hartwell,M,United States,USA,1996,Atlanta,Cycling Sports,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,20,Cycling Sports
Karen (-petersen),F,Denmark,DEN,1948,London,Water Sports,Swimming,Swimming Women's 400 metres Freestyle,Silver,61,Water Sports
Karen (-petersen),F,Denmark,DEN,1948,London,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Gold,61,Water Sports
Artem Harutyunyan,M,Germany,GER,2016,Rio de Janeiro,Combat Sports,Boxing,Boxing Men's Light-Welterweight,Bronze,13,Combat Sports
William Harvell,M,Great Britain,GBR,1932,Los Angeles,Cycling Sports,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,20,Cycling Sports
Armin Hary,M,Germany,GER,1960,Roma,Athletics,Athletics,Athletics Men's 100 metres,Gold,7,Athletics
Trikus Haryanto,M,Indonesia-1,INA,2000,Sydney,Racket Sports,Badminton,Badminton Mixed Doubles,Silver,8,Racket Sports
Dagmar Hase,F,Germany,GER,1992,Barcelona,Water Sports,Swimming,Swimming Women's 400 metres Freestyle,Gold,61,Water Sports
Dagmar Hase,F,Germany,GER,1992,Barcelona,Water Sports,Swimming,Swimming Women's 200 metres Backstroke,Silver,61,Water Sports
Dagmar Hase,F,Germany,GER,1996,Atlanta,Water Sports,Swimming,Swimming Women's 200 metres Freestyle,Bronze,61,Water Sports
Dagmar Hase,F,Germany,GER,1996,Atlanta,Water Sports,Swimming,Swimming Women's 400 metres Freestyle,Silver,61,Water Sports
Dagmar Hase,F,Germany,GER,1996,Atlanta,Water Sports,Swimming,Swimming Women's 800 metres Freestyle,Silver,61,Water Sports
Michiko Hasegawa-fukushima,F,Japan,JPN,1988,Seoul,Weapon Sports,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver,56,Weapon Sports
Josef Hasenhrl,M,Austria,AUT,1936,Berlin,Water Sports,Rowing,Rowing Men's Single Sculls,Silver,52,Water Sports
Shiro Hashizume,M,Japan,JPN,1952,Helsinki,Water Sports,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,61,Water Sports
Ali Hassan,M,Egypt,EGY,1948,London,Combat Sports,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver,73,Combat Sports
Kurt Hasse,M,Germany,GER,1936,Berlin,Equestrian,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold,31,Equestrian
Annia Hatch,F,United States,USA,2004,Athina,Gymnastics,Gymnastics,Gymnastics Women's Horse Vault,Silver,36,Gymnastics
Sidney Hatch,M,Chicago Athletic Association,USA,1904,St. Louis,Athletics,Athletics,"Athletics Men's 4 mile, Team",Silver,7,Athletics
John Hatfield,M,Great Britain,GBR,1912,Stockholm,Water Sports,Swimming,Swimming Men's 400 metres Freestyle,Silver,61,Water Sports
John Hatfield,M,Great Britain,GBR,1912,Stockholm,Water Sports,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,61,Water Sports
Ferenc Hatlaczky,M,Hungary,HUN,1956,Melbourne,Water Sports,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Silver,17,Water Sports
Gbor Hatos,M,Hungary,HUN,2012,London,Combat Sports,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,73,Combat Sports
Frank Haubold,M,United States,USA,1932,Los Angeles,Gymnastics,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze,36,Gymnastics
Gregory Haughton,M,Jamaica,JAM,2000,Sydney,Athletics,Athletics,Athletics Men's 400 metres,Bronze,7,Athletics
Finn Haunstoft,M,Denmark,DEN,1952,Helsinki,Water Sports,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold,17,Water Sports
Patrick Hausding,M,Germany,GER,2008,Beijing,Water Sports,Diving,Diving Men's Synchronized Platform,Silver,29,Water Sports
Patrick Hausding,M,Germany,GER,2016,Rio de Janeiro,Water Sports,Diving,Diving Men's Springboard,Bronze,29,Water Sports
Vclav Havel,M,Czechoslovakia,TCH,1948,London,Water Sports,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Silver,17,Water Sports
Frank Havens,M,United States,USA,1948,London,Water Sports,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Silver,17,Water Sports
Frank Havens,M,United States,USA,1952,Helsinki,Water Sports,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Gold,17,Water Sports
Ji Havlis,M,Czechoslovakia,TCH,1952,Helsinki,Water Sports,Rowing,Rowing Men's Coxed Fours,Gold,52,Water Sports
Donald Hawgood,M,Canada,CAN,1952,Helsinki,Water Sports,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Silver,17,Water Sports
Harold Hawkins,M,Great Britain,GBR,1908,London,Weapon Sports,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Silver,56,Weapon Sports
Martin (hakansson-),M,United States,USA,1912,Stockholm,Athletics,Athletics,Athletics Men's 110 metres Hurdles,Bronze,7,Athletics
Cheryl Haworth,F,United States,USA,2000,Sydney,Endurance Sports,Weightlifting,Weightlifting Women's Super-Heavyweight,Bronze,72,Endurance Sports
Henry Hawtrey,M,Great Britain,GBR,1906,Athina,Athletics,Athletics,Athletics Men's 5 mile,Gold,7,Athletics
Heinrich-Georg Hax,M,Germany,GER,1932,Los Angeles,Weapon Sports,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,56,Weapon Sports
Heinrich-Georg Hax,M,Germany,GER,1936,Berlin,Weapon Sports,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,56,Weapon Sports
Ren Hayakawa,F,Japan,JPN,2012,London,Weapon Sports,Archery,Archery Women's Team,Bronze,3,Weapon Sports
Takuji Hayata,M,Japan,JPN,1964,Tokyo,Gymnastics,Gymnastics,Gymnastics Men's Rings,Gold,36,Gymnastics
Sayed Haydari,M,Iran,IRI,1964,Tokyo,Combat Sports,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze,73,Combat Sports
Brent Hayden,M,Canada,CAN,2012,London,Water Sports,Swimming,Swimming Men's 100 metres Freestyle,Bronze,61,Water Sports
Robert Hayes,M,United States,USA,1964,Tokyo,Athletics,Athletics,Athletics Men's 100 metres,Gold,7,Athletics
Joanna Hayes,F,United States,USA,2004,Athina,Athletics,Athletics,Athletics Women's 100 metres Hurdles,Gold,7,Athletics
John Hayes,M,United States,USA,1908,London,Athletics,Athletics,Athletics Men's Marathon,Gold,7,Athletics
Neville Hayes,M,Australia,AUS,1960,Roma,Water Sports,Swimming,Swimming Men's 200 metres Butterfly,Silver,61,Water Sports
Robert Hayles,M,Great Britain,GBR,2004,Athina,Cycling Sports,Cycling,Cycling Men's Madison,Bronze,20,Cycling Sports
He Chong,M,China,CHN,2008,Beijing,Water Sports,Diving,Diving Men's Springboard,Gold,29,Water Sports
He Chong,M,China,CHN,2012,London,Water Sports,Diving,Diving Men's Springboard,Bronze,29,Water Sports
He Hanbin,M,China-1,CHN,2008,Beijing,Racket Sports,Badminton,Badminton Mixed Doubles,Bronze,8,Racket Sports
He Kexin,F,China,CHN,2008,Beijing,Gymnastics,Gymnastics,Gymnastics Women's Uneven Bars,Gold,36,Gymnastics
He Kexin,F,China,CHN,2012,London,Gymnastics,Gymnastics,Gymnastics Women's Uneven Bars,Silver,36,Gymnastics
He Wenna,F,China,CHN,2008,Beijing,Gymnastics,Trampolining,Trampolining Women's Individual,Gold,67,Gymnastics
He Wenna,F,China,CHN,2012,London,Gymnastics,Trampolining,Trampolining Women's Individual,Bronze,67,Gymnastics
He Ying,F,China,CHN,1996,Atlanta,Weapon Sports,Archery,Archery Women's Individual,Silver,3,Weapon Sports
He Ying,F,China,CHN,2004,Athina,Weapon Sports,Archery,Archery Women's Team,Silver,3,Weapon Sports
He Yingqiang,M,China,CHN,1988,Seoul,Endurance Sports,Weightlifting,Weightlifting Men's Bantamweight,Silver,72,Endurance Sports
He Yingqiang,M,China,CHN,1992,Barcelona,Endurance Sports,Weightlifting,Weightlifting Men's Featherweight,Bronze,72,Endurance Sports
He Zhuoqiang,M,China,CHN,1988,Seoul,Endurance Sports,Weightlifting,Weightlifting Men's Flyweight,Bronze,72,Endurance Sports
He Zi,F,China,CHN,2012,London,Water Sports,Diving,Diving Women's Springboard,Silver,29,Water Sports
He Zi,F,China,CHN,2012,London,Water Sports,Diving,Diving Women's Synchronized Springboard,Gold,29,Water Sports
He Zi,F,China,CHN,2016,Rio de Janeiro,Water Sports,Diving,Diving Women's Springboard,Silver,29,Water Sports
Maaike Head,F,Netherlands,NED,2016,Rio de Janeiro,Water Sports,Rowing,Rowing Women's Lightweight Double Sculls,Gold,52,Water Sports
Alfred Healey,M,Great Britain,GBR,1906,Athina,Athletics,Athletics,Athletics Men's 110 metres Hurdles,Silver,7,Athletics
Cecil Healy,M,Australia,AUS,1906,Athina,Water Sports,Swimming,Swimming Men's 100 metres Freestyle,Bronze,61,Water Sports
Cecil Healy,M,Australasia,ANZ,1912,Stockholm,Water Sports,Swimming,Swimming Men's 100 metres Freestyle,Silver,61,Water Sports
Pamela Healy,F,United States,USA,1992,Barcelona,Other Traditional Sports,Sailing,Sailing Women's Two Person Dinghy,Bronze,55,Other Traditional Sports
Lacey Hearn,M,United States,USA,1904,St. Louis,Athletics,Athletics,"Athletics Men's 1,500 metres",Bronze,7,Athletics
Susan (-telfer),F,Great Britain,GBR,1984,Los Angeles,Athletics,Athletics,Athletics Women's Long Jump,Bronze,7,Athletics
Liam Heath,M,Great Britain,GBR,2012,London,Water Sports,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Bronze,17,Water Sports
Liam Heath,M,Great Britain,GBR,2016,Rio de Janeiro,Water Sports,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Gold,17,Water Sports
Liam Heath,M,Great Britain,GBR,2016,Rio de Janeiro,Water Sports,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver,17,Water Sports
Michael Heath,M,United States,USA,1984,Los Angeles,Water Sports,Swimming,Swimming Men's 200 metres Freestyle,Silver,61,Water Sports
Benjamin Heatley,M,Great Britain,GBR,1964,Tokyo,Athletics,Athletics,Athletics Men's Marathon,Silver,7,Athletics
Philippe Hbrle,M,France,FRA,1984,Los Angeles,Weapon Sports,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold,56,Weapon Sports
Harry Hebner,M,United States,USA,1912,Stockholm,Water Sports,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,61,Water Sports
Harry Hebner,M,United States,USA,1912,Stockholm,Water Sports,Swimming,Swimming Men's 100 metres Backstroke,Gold,61,Water Sports
Grete (-dahm),F,Denmark,DEN,1924,Paris,Weapon Sports,Fencing,"Fencing Women's Foil, Individual",Bronze,32,Weapon Sports
Kathleen Heddle,F,Canada,CAN,1992,Barcelona,Water Sports,Rowing,Rowing Women's Coxless Pairs,Gold,52,Water Sports
Kathleen Heddle,F,Canada,CAN,1996,Atlanta,Water Sports,Rowing,Rowing Women's Double Sculls,Gold,52,Water Sports
Whitney (-luther),F,United States,USA,1996,Atlanta,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Silver,61,Water Sports
Whitney (-luther),F,United States,USA,1996,Atlanta,Water Sports,Swimming,Swimming Women's 200 metres Backstroke,Silver,61,Water Sports
Benjamin Jr.,M,United States,USA,1928,Amsterdam,Athletics,Athletics,Athletics Men's High Jump,Silver,7,Athletics
Marianne (-oudkerk-),F,Netherlands,NED,1960,Roma,Water Sports,Swimming,Swimming Women's 100 metres Butterfly,Silver,61,Water Sports
Charles Hefferon,M,South Africa,RSA,1908,London,Athletics,Athletics,Athletics Men's Marathon,Silver,7,Athletics
Csaba Hegeds,M,Hungary,HUN,1972,Munich,Combat Sports,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,73,Combat Sports
Ferenc Hegeds,M,Hungary,HUN,1992,Barcelona,Weapon Sports,Fencing,"Fencing Men's epee, Team",Silver,32,Weapon Sports
Francis Hegerty,M,Australia,AUS,2008,Beijing,Water Sports,Rowing,Rowing Men's Coxless Fours,Silver,52,Water Sports
Stephen Hegg,M,United States,USA,1984,Los Angeles,Cycling Sports,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold,20,Cycling Sports
Hans-Jrgen Hehn,M,West Germany,FRG,1976,Montreal,Weapon Sports,Fencing,"Fencing Men's epee, Individual",Silver,32,Weapon Sports
Anton Heida,M,United States,USA,1904,St. Louis,Gymnastics,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",Gold,36,Gymnastics
Anton Heida,M,United States,USA,1904,St. Louis,Gymnastics,Gymnastics,Gymnastics Men's Parallel Bars,Silver,36,Gymnastics
Anton Heida,M,United States,USA,1904,St. Louis,Gymnastics,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,36,Gymnastics
Anton Heida,M,United States,USA,1904,St. Louis,Gymnastics,Gymnastics,Gymnastics Men's Side Horse,Gold,36,Gymnastics
Ali Heidari,M,Iran,IRI,2004,Athina,Combat Sports,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,73,Combat Sports
Britta Heidemann,F,Germany,GER,2008,Beijing,Weapon Sports,Fencing,"Fencing Women's epee, Individual",Gold,32,Weapon Sports
